tconst,actor
tt0195778,"nm0005098,nm0001326,nm0740264,nm0339304,nm0934179"
tt0195945,"nm0001084,nm0258402,nm0682399,nm0936762,nm0193066,nm0889846,nm0780957,nm0596789,nm0001474"
tt0196069,"nm0473329,nm0473329,nm1146415,nm1146415,nm1146376,nm1146376,nm1145554,nm1145554,nm1146201,nm1146201,nm1146375,nm1146375,nm1146413,nm1146413"
tt0196106,"nm1725860,nm1732008,nm2948338,nm0274819,nm0836093,nm0954225"
tt0196158,"nm0001744,nm0000454,nm0000219,nm0621576,nm0338886,nm0300824,nm0357036,nm0919256"
tt0196216,"nm0000095,nm0000424,nm0001650,nm0201700,nm0001484,nm0506507"
tt0196219,"nm0001384,nm0399763,nm0832622,nm0039424,nm0460288,nm0539082,nm0480523,nm0004879,nm0958770"
tt0196223,"nm0000662,nm0000284,nm0707780,nm0414975,nm0283568,nm0641930"
tt0196229,"nm0001774,nm0005562,nm0002071,nm0005467,nm0000141,nm0000685,nm0295103,nm1052534"
tt0196614,"nm0415883,nm0841095,nm0226674,nm0117530,nm0638824,nm1726986,nm0420561"
tt0196708,"nm0429114,nm0094170,nm0144133,nm0005290,nm0638056,nm0694066,nm0277727,nm0289716"
tt0196723,"nm0000664,nm0330687,nm0771493,nm0689488,nm0093174,nm0265522"
tt0196811,"nm0162535,nm0578064,nm0670639,nm0740856,nm0778304,nm0916591"
tt0197096,"nm0729582,nm0816669,nm0553436,nm0948253"
tt0197384,"nm0000461,nm0440229,nm0004867,nm0942482,nm0853549,nm0668284"
tt0197402,"nm0653626,nm0841095,nm0251423,nm0960276,nm0691862,nm0427379,nm0402248"
tt0197750,"nm0322513,nm0001971,nm0923610,nm0522327,nm0586958"
tt0198021,"nm0289656,nm0116465,nm0202966,nm0696697"
