tconst,averageRating,numVotes
tt0251736,6.0,93528
tt0251756,6.1,1250
tt0251777,7.0,1811
tt0251806,4.7,6033
tt0252028,5.5,27756
tt0252052,7.7,2038
tt0252076,5.4,96277
tt0252223,4.8,2731
tt0252277,5.0,3178
tt0252299,6.7,25574
tt0252437,7.0,2835
tt0252444,7.4,30281
tt0252480,7.0,11442
tt0252501,6.9,41077
tt0252503,6.5,39074
tt0252665,6.5,2426
tt0252684,7.2,10046
tt0252866,6.4,270354
tt0252963,5.4,6180
tt0252985,7.1,6925
tt0253110,6.0,1332
tt0253126,6.1,3689
tt0253194,5.1,1093
tt0253200,6.9,6739
tt0253378,6.9,1529
tt0253474,8.5,913851
tt0253556,6.2,145580
tt0253612,6.0,1208
tt0253754,6.4,83970
tt0253798,6.2,18489
tt0253827,5.4,1317
tt0253840,5.8,1633
tt0253867,5.2,62510
tt0254099,6.3,8755
tt0254199,6.2,5090
tt0254235,6.9,1573
tt0254334,5.3,3327
tt0254455,7.0,38746
tt0254481,7.1,27468
tt0254686,7.5,71947
tt0254703,4.3,1250
tt0254775,5.2,1382
tt0255067,7.2,12889
tt0255094,7.4,6689
tt0255111,6.5,8068
tt0255112,3.5,1479
tt0255195,6.8,1936
tt0255198,6.0,4632
tt0255212,5.5,2049
tt0255305,5.2,2092
tt0255309,6.1,1140
tt0255321,6.9,2677
tt0255477,4.3,8639
tt0255589,6.9,14732
tt0255653,6.7,5289
tt0255702,5.2,2064
tt0255713,6.5,1702
tt0255798,4.8,63776
tt0255819,6.4,16591
tt0255958,7.0,2388
tt0256009,7.4,71047
tt0256103,6.0,13168
tt0256155,3.2,1392
tt0256259,7.0,1829
tt0256276,6.3,13721
tt0256359,6.5,4372
tt0256380,6.0,144898
tt0256408,7.1,3461
tt0256415,6.2,123716
tt0256524,6.7,42451
tt0256692,5.5,5282
tt0256739,6.0,1249
tt0257044,7.7,284749
tt0257076,6.1,154031
tt0257106,5.3,175316
tt0257215,6.9,1230
tt0257231,6.4,7958
tt0257289,7.0,1435
tt0257290,7.7,7291
tt0257360,7.2,133652
tt0257497,8.0,1338
tt0257510,3.7,2256
tt0257516,5.0,35017
tt0257568,4.5,33756
tt0257756,6.4,48320
tt0258000,6.8,297207
tt0258038,5.3,15129
tt0258068,7.0,29758
tt0258100,6.2,6103
tt0258153,6.1,62490
tt0258273,6.7,7700
tt0258291,5.7,1619
tt0258463,7.8,576812
tt0258470,5.7,35308
tt0258489,6.6,1095
tt0258490,8.1,5916
tt0258760,7.2,11886
tt0258761,7.2,2143
tt0258816,6.4,6399
tt0258827,5.3,4479
tt0258885,7.3,3078
tt0258967,6.6,6719
tt0259060,5.7,5660
tt0259072,7.7,8842
tt0259134,6.7,1455
tt0259182,7.2,1990
tt0259288,6.1,39981
tt0259324,5.3,252482
tt0259340,6.8,1528
tt0259393,7.2,20230
tt0259440,7.2,1421
tt0259442,5.1,1646
tt0259446,6.6,144745
tt0259484,7.0,14253
tt0259567,5.5,1415
tt0259711,6.9,285956
tt0259822,5.5,8891
tt0259929,5.4,2176
tt0259974,6.0,7961
tt0260320,5.6,5324
tt0260332,7.3,1992
tt0260414,7.1,3830
tt0260688,7.3,2940
tt0260866,6.3,57113
tt0260991,7.7,34256
tt0261066,6.2,1404
tt0261175,6.2,2358
tt0261199,1.9,1144
tt0261289,5.3,18834
tt0261311,5.9,2276
tt0261392,6.8,161154
tt0261552,6.9,2332
tt0261983,6.4,62959
tt0261992,5.0,1473
tt0262037,7.5,2530
tt0262240,8.2,1466
tt0262396,5.9,7902
tt0262432,7.2,8672
tt0262457,6.8,1732
tt0262699,5.2,2635
tt0262826,7.0,2048
tt0262911,5.3,1263
tt0262942,6.2,1921
tt0263026,5.4,2457
tt0263101,6.5,3782
tt0263124,7.7,6381
tt0263215,5.4,1220
tt0263265,5.4,6187
tt0263334,7.2,2624
tt0263386,4.6,1429
tt0263488,6.2,142744
tt0263491,4.9,1378
tt0263496,5.8,1092
tt0263671,6.3,2575
tt0263725,6.7,4834
tt0263728,3.9,2967
tt0263734,5.9,4716
tt0263757,6.2,43252
tt0263957,6.6,1472
tt0264150,5.3,28605
tt0264323,5.3,13306
tt0264333,6.6,1783
tt0264395,6.4,66592
tt0264429,3.7,1986
tt0264464,8.1,1097450
tt0264472,6.5,74697
tt0264476,8.2,2455
tt0264508,6.2,21070
tt0264578,7.8,2197
tt0264616,7.2,91487
tt0264689,7.1,3451
tt0264761,6.6,17445
tt0264796,7.4,45633
tt0264917,6.8,1005
tt0264935,6.2,62465
tt0265010,4.9,2661
tt0265018,6.9,1211
tt0265029,5.7,60391
tt0265086,7.7,424058
tt0265087,4.9,43343
tt0265104,4.7,2955
tt0265116,7.0,2487
tt0265144,7.3,3332
tt0265148,3.8,5109
tt0265171,5.6,4723
tt0265208,6.7,240103
tt0265232,5.3,2388
tt0265298,5.5,39601
tt0265307,6.6,4477
tt0265317,4.4,1028
tt0265343,7.3,26702
tt0265349,6.4,84863
tt0265459,6.8,131823
tt0265591,6.1,9550
tt0265632,6.5,11681
tt0265651,6.6,19505
tt0265662,6.9,37218
tt0265666,7.6,313452
tt0265691,5.7,1182
tt0265709,5.7,2050
tt0265713,6.6,4814
tt0265752,5.9,1043
tt0265808,5.1,13733
tt0265859,5.5,1422
tt0265930,6.9,8791
tt0265944,3.5,2048
tt0266057,2.0,1187
tt0266308,7.5,194622
