tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt7762982,AU,Sajjan Singh Rangroot,2018,140,"Action,Biography,Drama","nm3870994,nm14914897","nm3870994,nm13552091,nm11133415,nm9827799,nm11981797",7.3,1615
tt7763020,AR,Dovlatov,2018,126,"Biography,Drama",nm1531700,"nm1531700,nm6434684",6.4,2223
tt7764650,AU,The Thinning: New World Order,2018,89,"Action,Drama,Horror",nm2038422,"nm2038422,nm3475267",4.1,2596
tt7765120,CA,Daughter of Mine,2018,97,Drama,nm3053575,"nm3812261,nm3053575,nm0392977",6.1,1183
tt7765778,AU,American Wisper,2020,91,"Crime,Thriller",nm1479322,"nm6757410,nm1017016",4.0,3472
tt7765910,AE,Aravindha Sametha,2018,162,"Action,Drama",nm1894520,nm1894520,7.3,9420
tt7766886,CA,The Girl with a Bracelet,2019,95,"Crime,Drama",nm2683602,"nm2683602,nm5663638,nm1886112",6.6,2356
tt7767336,GB,Varikkuzhiyile Kolapathakam,2019,120,"Comedy,Mystery,Thriller",nm6836609,nm6836609,6.6,1145
tt7767866,AU,Chal Mohan Ranga,2018,148,Romance,nm3954257,"nm3954257,nm1894520",5.9,1288
tt7768846,DE,Pass Over,2018,74,Drama,"nm0000490,nm2224861",nm6685476,6.1,1092
tt7769346,DE,Ekkees Tareekh Shubh Muhurat,2018,97,"Comedy,Drama",nm9498860,"nm14952666,nm9498860",5.4,1863
tt7770192,AU,Krishnarjuna Yudham,2018,156,"Action,Comedy",nm6249248,"nm7136817,nm7136818,nm11610474,nm6249248,nm11370396",5.8,1573
